Data from HR4C34221__3__21-26-59-237.txt Node

Date: Fri Apr 11 21:26:59 MSK 2025
User: 123
Spectrometer: HR4C3422
Trigger mode: 4
Integration Time (sec): 1,000000E-1
Scans to average: 10
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
195,326	-29,78
195,597	-29,78
195,868	-29,78
196,139	-33,68
196,409	0,72
196,68	-1,98
196,951	-0,28
197,221	-6,58
197,492	-2,68
197,762	2,22
198,033	2,42
198,304	5,62
198,574	-8,58
198,845	7,12
199,116	-1,18
199,386	-1,48
199,657	-8,78
199,927	14,22
200,198	2,02
200,468	8,42
200,739	4,22
201,009	2,62
201,28	7,12
201,551	4,62
201,821	3,92
202,092	7,92
202,362	7,72
202,633	2,92
202,903	0,82
203,174	-0,18
203,444	-0,78
203,714	-2,48
203,985	6,82
204,255	3,92
204,526	60,12
204,796	6,12
205,067	9,92
205,337	3,92
205,607	6,62
205,878	44,22
206,148	16,82
206,419	0,92
206,689	-1,38
206,959	9,02
207,23	2,22
207,5	13,32
207,77	17,32
208,041	3,22
208,311	7,62
208,581	7,12
208,852	9,32
209,122	6,02
209,392	-2,48
209,663	1,02
209,933	4,02
210,203	7,22
210,473	2,62
210,744	1,12
211,014	12,82
211,284	9,42
211,554	9,22
211,825	7,82
212,095	-4,38
212,365	4,62
212,635	9,82
212,905	9,32
213,176	8,72
213,446	20,62
213,716	-2,28
213,986	7,32
214,256	4,52
214,526	10,32
214,797	5,72
215,067	8,62
215,337	12,62
215,607	3,92
215,877	8,82
216,147	4,12
216,417	1,02
216,687	8,82
216,957	1,72
217,227	3,62
217,497	3,72
217,767	6,92
218,038	15,22
218,308	5,32
218,578	9,92
218,848	9,12
219,118	6,12
219,388	5,02
219,658	3,32
219,928	11,32
220,198	7,72
220,468	12,82
220,737	-2,18
221,007	1,82
221,277	7,32
221,547	8,52
221,817	5,62
222,087	4,92
222,357	6,42
222,627	-5,48
222,897	10,22
223,167	1,72
223,437	-0,88
223,707	16,12
223,976	16,42
224,246	8,22
224,516	6,02
224,786	8,42
225,056	4,02
225,326	2,52
225,595	1,12
225,865	-0,78
226,135	3,72
226,405	4,42
226,675	15,02
226,944	16,42
227,214	6,82
227,484	2,52
227,754	4,02
228,023	-0,48
228,293	-4,98
228,563	10,32
228,833	11,82
229,102	10,62
229,372	4,62
229,642	6,32
229,911	15,22
230,181	4,92
230,451	7,32
230,72	6,02
230,99	3,72
231,26	9,02
231,529	6,22
231,799	10,42
232,069	2,62
232,338	14,62
232,608	12,62
232,877	2,92
233,147	0,42
233,417	6,82
233,686	12,92
233,956	2,72
234,225	1,72
234,495	-4,78
234,764	6,42
235,034	7,12
235,304	-5,18
235,573	69,72
235,843	15,42
236,112	6,72
236,382	6,42
236,651	7,12
236,921	10,12
237,19	3,72
237,46	2,72
237,729	-2,28
237,998	6,02
238,268	7,72
238,537	23,52
238,807	12,02
239,076	-1,78
239,346	-2,58
239,615	1,12
239,884	3,82
240,154	5,22
240,423	2,22
240,693	0,02
240,962	6,82
241,231	5,62
241,501	5,92
241,77	1,12
242,039	4,42
242,309	-3,08
242,578	-0,38
242,847	3,52
243,116	4,42
243,386	7,52
243,655	0,62
243,924	4,82
244,194	-1,28
244,463	0,62
244,732	9,62
245,001	3,22
245,271	60,92
245,54	12,22
245,809	-2,38
246,078	1,02
246,347	2,32
246,617	-1,18
246,886	7,62
247,155	8,92
247,424	13,02
247,693	3,42
247,963	4,42
248,232	7,02
248,501	13,22
248,77	0,52
249,039	6,82
249,308	8,82
249,577	7,42
249,846	5,82
250,115	7,62
250,385	9,52
250,654	5,62
250,923	12,62
251,192	10,52
251,461	6,52
251,73	6,82
251,999	2,32
252,268	2,62
252,537	6,82
252,806	-1,38
253,075	9,42
253,344	4,42
253,613	19,32
253,882	2,42
254,151	8,52
254,42	4,92
254,689	-0,78
254,958	0,82
255,227	0,42
255,496	4,82
255,765	6,32
256,033	-1,08
256,302	7,42
256,571	7,82
256,84	5,42
257,109	0,22
257,378	-5,48
257,647	-3,38
257,916	-0,08
258,184	3,62
258,453	-0,58
258,722	11,72
258,991	3,62
259,26	6,02
259,529	-0,88
259,797	4,22
260,066	10,22
260,335	12,82
260,604	9,32
260,873	8,52
261,141	4,42
261,41	-2,08
261,679	12,22
261,948	12,92
262,216	1,32
262,485	11,82
262,754	1,12
263,022	3,72
263,291	13,32
263,56	5,32
263,829	3,22
264,097	4,12
264,366	6,22
264,635	-0,38
264,903	1,92
265,172	8,82
265,44	6,22
265,709	1,72
265,978	9,02
266,246	10,02
266,515	5,22
266,784	0,72
267,052	0,72
267,321	2,12
267,589	84,82
267,858	10,92
268,126	4,22
268,395	10,82
268,663	12,12
268,932	13,92
269,201	4,42
269,469	9,32
269,738	7,32
270,006	2,82
270,275	7,82
270,543	-0,88
270,811	7,02
271,08	2,32
271,348	13,72
271,617	9,62
271,885	2,12
272,154	-1,38
272,422	12,62
272,691	6,32
272,959	20,02
273,227	7,82
273,496	5,02
273,764	7,12
274,033	17,32
274,301	3,12
274,569	1,32
274,838	1,02
275,106	2,82
275,374	12,02
275,643	12,12
275,911	4,02
276,179	8,62
276,448	15,12
276,716	13,32
276,984	-1,98
277,252	4,92
277,521	-0,18
277,789	-2,08
278,057	2,82
278,325	-1,58
278,594	12,72
278,862	11,12
279,13	5,42
279,398	3,72
279,667	8,32
279,935	8,72
280,203	8,32
280,471	7,92
280,739	6,12
281,008	-0,18
