% Model:              just_a_wire.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 24 2025, 10:33
% Dimension:          1
% Nodes:              3898
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Temperature
0                         2784.613548760092
2.1184008703771664E-5     2784.6135495835597
4.236801740754333E-5      2784.613549184592
6.355202611131499E-5      2784.61354756319
8.851298276459343E-5      2784.6135484591045
1.1347393941787184E-4     2784.6135485740456
1.3843489607115027E-4     2784.6135479080135
1.6408561715066376E-4     2784.6135486349144
1.897363382301772E-4      2784.613548638477
2.1538705930969067E-4     2784.6135479187024
2.4105584659542945E-4     2784.6135486400785
2.667246338811682E-4      2784.6135486400917
2.923934211669069E-4      2784.613547918743
3.1806220845264564E-4     2784.6135486399694
3.437309957383843E-4      2784.613548639894
3.6939978302412304E-4     2784.6135479185155
3.9506857030986183E-4     2784.613548639745
4.207373575956005E-4      2784.6135486396724
4.464061448813393E-4      2784.613547918298
4.7207493216707807E-4     2784.613548639532
4.977437194528168E-4      2784.613548639463
5.234125067385555E-4      2784.613547918092
5.490812940242943E-4      2784.613548639329
5.74750081310033E-4       2784.6135486392636
6.004188685957717E-4      2784.6135479178965
6.260876558815106E-4      2784.6135486391377
6.517564431672493E-4      2784.6135486390754
6.77425230452988E-4       2784.6135479177115
7.030940177387267E-4      2784.6135486389558
7.287628050244655E-4      2784.613548638897
7.544315923102042E-4      2784.613547917536
7.801003795959429E-4      2784.6135486387825
8.057691668816817E-4      2784.613548638727
8.314379541674204E-4      2784.61354791737
8.571067414531591E-4      2784.6135486386197
8.827755287388979E-4      2784.613548638567
9.084443160246366E-4      2784.6135479172126
9.341131033103755E-4      2784.6135486384646
9.597818905961144E-4      2784.613548638415
9.854506778818532E-4      2784.6135479170625
0.001011119465167592      2784.6135486383187
0.0010367882524533305     2784.6135486382714
0.0010624570397390692     2784.6135479169216
0.0010881258270248081     2784.6135486381795
0.0011137946143105469     2784.6135486381345
0.0011394634015962856     2784.613547916787
0.0011651321888820243     2784.613548638047
0.0011908009761677628     2784.6135486380044
0.0012164697634535016     2784.61354791666
0.0012421385507392405     2784.6135486379226
0.0012678073380249792     2784.613548637882
0.001293476125310718      2784.61354791654
0.0013191449125964567     2784.6135486378043
0.0013448136998821952     2784.6135486377657
0.001370482487167934      2784.613547916425
0.0013961512744536729     2784.6135486376916
0.0014218200617394116     2784.613548637656
0.0014474888490251503     2784.613547916317
0.001473157636310889      2784.613548637586
0.0014988264235966278     2784.6135486375515
0.0015244952108823665     2784.613547916215
0.0015501639981681053     2784.6135486374856
0.001575832785453844      2784.613548637453
0.0016015015727395825     2784.6135479161176
0.0016271703600253215     2784.61354863739
0.0016528391473110604     2784.613548637359
0.0016785079345967993     2784.6135479160257
0.001704176721882538      2784.6135486372996
0.0017298455091682766     2784.61354863727
0.0017555142964540153     2784.6135479159384
0.0017811830837397543     2784.613548637214
0.001806851871025493      2784.6135486371863
0.0018325206583112317     2784.613547915856
0.0018581894455969705     2784.613548637132
0.0018838582328827092     2784.6135486371063
0.001909527020168448      2784.613547915778
0.0019351958074541866     2784.613548637056
0.0019608645947399254     2784.6135486370313
0.001986533382025664      2784.6135479157033
0.002012202169311403      2784.613548636983
0.0020378709565971416     2784.613548636959
0.0020635397438828807     2784.6135479156333
0.0020892085311686195     2784.613548636914
0.0021148773184543578     2784.613548636891
0.0021405461057400965     2784.6135479155664
0.002166214893025835      2784.6135486368485
0.002191883680311574      2784.6135486368275
0.002217552467597313      2784.6135479155027
0.002243221254883052      2784.613548636786
0.0022688900421687906     2784.6135486367657
0.0022945588294545293     2784.613547915443
0.002320227616740268      2784.613548636728
0.0023458964040260063     2784.6135486367084
0.002371565191311745      2784.6135479153863
0.0023972339785974838     2784.6135486366716
0.0024229027658832225     2784.6135486366534
0.0024485715531689617     2784.613547915332
0.002474240340454701      2784.6135486366184
0.002499909127740439      2784.613548636601
0.002525577915026178      2784.6135479152813
0.002551246702311917      2784.613548636568
0.0025769154895976553     2784.613548636552
0.002602584276883394      2784.613547915233
0.002628253064169133      2784.613548636521
0.0026539218514548715     2784.613548636505
0.0026795906387406102     2784.613547915187
0.002705259426026349      2784.613548636476
0.0027309282133120873     2784.613548636461
0.002756597000597826      2784.6135479151435
0.002782265787883565      2784.613548636433
0.0028079345751693043     2784.613548636419
0.002833603362455043      2784.613547915103
0.0028592721497407818     2784.6135486363933
0.00288494093702652       2784.6135486363796
0.002910609724312259      2784.6135479150635
0.002936278511597998      2784.6135486363546
0.0029619472988837367     2784.6135486363423
0.0029876160861694754     2784.6135479150266
0.003013284873455214      2784.6135486363182
0.003038953660740953      2784.613548636307
0.003064622448026691      2784.6135479149916
0.00309029123531243       2784.613548636284
0.003115960022598168      2784.6135486362723
0.003141628809883907      2784.613547914958
0.003167297597169646      2784.613548636251
0.0031929663844553853     2784.61354863624
0.003218635171741124      2784.6135479149266
0.0032443039590268627     2784.61354863622
0.0032699727463126015     2784.6135486362095
0.0032956415335983398     2784.6135479148966
0.003321310320884079      2784.6135486361904
0.0033469791081698176     2784.6135486361804
0.0033726478954555564     2784.613547914868
0.003398316682741295      2784.6135486361622
0.003423985470027033      2784.613548636153
0.0034496542573127717     2784.6135479148415
0.003475323044598511      2784.613548636137
0.00350099183188425       2784.613548636128
0.0035266606191699888     2784.613547914816
0.0035523294064557275     2784.613548636111
0.003577998193741466      2784.6135486361027
0.0036036669810272045     2784.613547914792
0.0036293357683129437     2784.6135486360877
0.0036550045555986824     2784.6135486360795
0.003680673342884421      2784.613547914769
0.0037063421301701607     2784.613548636065
0.0037320109174558995     2784.6135486360577
0.003757679704741638      2784.613547914747
0.003783348492027377      2784.613548636044
0.003809017279313115      2784.6135486360367
0.003834686066598854      2784.6135479147265
0.0038603548538845927     2784.6135486360236
0.003886023641170331      2784.613548636017
0.00391169242845607       2784.613547914707
0.003937361215741809      2784.6135486360035
0.003963030003027548      2784.613548635997
0.003988698790313287      2784.6135479146883
0.0040143675775990255     2784.6135486359863
0.004040036364884764      2784.61354863598
0.004065705152170503      2784.613547914671
0.004091373939456242      2784.6135486359685
0.00411704272674198       2784.6135486359626
0.004142711514027719      2784.613547914654
0.004168380301313458      2784.613548635952
0.004194049088599196      2784.6135486359467
0.0042197178758849345     2784.6135479146383
0.004245386663170674      2784.6135486359362
0.004271055450456413      2784.6135486359312
0.0042967242377421515     2784.6135479146233
0.00432239302502789       2784.613548635922
0.004348061812313629      2784.613548635917
0.004373730599599368      2784.6135479146096
0.0043993993868851064     2784.613548635908
0.004425068174170845      2784.613548635903
0.004450736961456583      2784.6135479145955
0.004476405748742323      2784.6135486358953
0.004502074536028061      2784.6135486358908
0.0045277433233138        2784.613547914583
0.004553412110599539      2784.613548635882
0.0045790808978852775     2784.613548635878
0.004604749685171015      2784.6135479145705
0.004630418472456755      2784.6135486358703
0.004656087259742494      2784.613548635866
0.0046817560470282325     2784.6135479145587
0.004707424834313971      2784.6135486358585
0.00473309362159971       2784.613548635855
0.004758762408885449      2784.6135479145482
0.004784431196171187      2784.6135486358476
0.004810099983456926      2784.613548635844
0.004835768770742665      2784.613547914538
0.004861437558028404      2784.613548635838
0.004887106345314142      2784.6135486358344
0.00491277513259988       2784.6135479145273
0.00493844391988562       2784.6135486358276
0.0049641127071713585     2784.6135486358244
0.004989781494457098      2784.6135479145178
0.005015450281742837      2784.613548635818
0.005041119069028575      2784.6135486358153
0.005066787856314313      2784.6135479145096
0.005092456643600052      2784.61354863581
0.005118125430885792      2784.6135486358066
0.0051437942181715305     2784.6135479145005
0.005169463005457269      2784.6135486358007
0.005195131792743007      2784.613548635798
0.005220800580028746      2784.6135479144923
0.0052464693673144845     2784.613548635793
0.005272138154600223      2784.6135486357903
0.005297806941885962      2784.6135479144846
0.005323475729171701      2784.6135486357857
0.0053491445164574394     2784.613548635783
0.005374813303743178      2784.6135479144773
0.005400482091028917      2784.613548635779
0.0054261508783146565     2784.613548635776
0.005451819665600395      2784.613547914471
0.005477488452886134      2784.613548635772
0.005503157240171872      2784.6135486357693
0.0055288260274576105     2784.613547914464
0.005554494814743349      2784.6135486357653
0.005580163602029089      2784.613548635763
0.005605832389314828      2784.613547914458
0.005631501176600566      2784.613548635759
0.005657169963886304      2784.6135486357566
0.005682838751172043      2784.6135479144514
0.005708507538457782      2784.613548635753
0.005734176325743521      2784.6135486357507
0.00575984511302926       2784.6135479144464
0.005785513900314999      2784.6135486357475
0.0058111826876007374     2784.6135486357452
0.005836851474886476      2784.613547914441
0.005862520262172216      2784.613548635743
0.005888189049457954      2784.613548635741
0.005913857836743692      2784.613547914436
0.005939526624029431      2784.6135486357375
0.00596519541131517       2784.613548635736
0.0059908641986009085     2784.613547914431
0.006016532985886648      2784.6135486357325
0.006042201773172386      2784.6135486357307
0.006067870560458125      2784.6135479144264
0.0060935393477438635     2784.613548635729
0.006119208135029601      2784.6135486357266
0.006144876922315339      2784.613547914422
0.006170545709601079      2784.6135486357234
0.006196214496886818      2784.6135486357225
0.006221883284172557      2784.613547914418
0.006247552071458296      2784.6135486357207
0.006273220858744034      2784.613548635719
0.0062988896460297724     2784.613547914414
0.006324558433315511      2784.613548635716
0.006350227220601249      2784.6135486357143
0.006375896007886989      2784.61354791441
0.006401564795172728      2784.613548635713
0.006427233582458466      2784.6135486357116
0.006452902369744206      2784.613547914407
0.006478571157029945      2784.6135486357093
0.006504239944315684      2784.613548635708
0.006529908731601423      2784.613547914403
0.006555577518887162      2784.6135486357057
0.0065812463061729        2784.6135486357043
0.006606915093458638      2784.6135479143995
0.006632583880744378      2784.613548635702
0.0066582526680301155     2784.6135486357007
0.006683921455315854      2784.6135479143963
0.006709590242601593      2784.6135486356984
0.006735259029887331      2784.613548635697
0.00676092781717307       2784.613547914393
0.006786596604458809      2784.6135486356957
0.006812265391744548      2784.6135486356943
0.0068379341790302875     2784.6135479143904
0.006863602966316026      2784.613548635693
0.006889271753601763      2784.6135486356916
0.006914940540887502      2784.6135479143877
0.0069406093281732415     2784.6135486356898
0.00696627811545898       2784.6135486356884
0.00699194690274472       2784.613547914385
0.0070176156900304595     2784.6135486356875
0.007043284477316197      2784.6135486356866
0.007068953264601935      2784.613547914382
0.007094622051887675      2784.6135486356848
0.0071202908391734135     2784.613548635684
0.007145959626459152      2784.61354791438
0.007171628413744892      2784.6135486356825
0.00719729720103063       2784.6135486356816
0.0072229659883163684     2784.6135479143772
0.007248634775602107      2784.61354863568
0.007274303562887845      2784.613548635679
0.007299972350173584      2784.613547914375
0.007325641137459323      2784.613548635678
0.007351309924745062      2784.6135486356766
0.007376978712030802      2784.6135479143727
0.0074026474993165396     2784.613548635676
0.007428316286602277      2784.613548635675
0.007453985073888016      2784.6135479143713
0.007479653861173756      2784.6135486356743
0.0075053226484594945     2784.6135486356734
0.007530991435745234      2784.613547914369
0.007556660223030973      2784.6135486356725
0.0075823290103167115     2784.6135486356716
0.007607997797602449      2784.6135479143677
0.007633666584888189      2784.61354863567
0.007659335372173927      2784.6135486356698
0.0076850041594596664     2784.6135479143654
0.007710672946745405      2784.6135486356684
0.007736341734031144      2784.6135486356675
0.007762010521316882      2784.6135479143636
0.007787679308602621      2784.6135486356666
0.00781334809588836       2784.613548635666
0.007839016883174099      2784.6135479143622
0.007864685670459837      2784.613548635665
0.007890354457745576      2784.6135486356643
0.007916023245031314      2784.613547914361
0.007941692032317054      2784.613548635664
0.007967360819602792      2784.6135486356625
0.007993029606888531      2784.613547914359
0.00801869839417427       2784.613548635662
0.008044367181460009      2784.6135486356616
0.008070035968745747      2784.6135479143572
0.008095704756031486      2784.6135486356607
0.008121373543317224      2784.6135486356598
0.008147042330602962      2784.613547914356
0.008172711117888701      2784.6135486356593
0.008198379905174441      2784.6135486356584
0.008224048692460179      2784.6135479143545
0.008249717479745918      2784.6135486356575
0.008275386267031656      2784.613548635657
0.008301055054317396      2784.613547914353
0.008326723841603136      2784.6135486356566
0.008352392628888873      2784.6135486356557
0.008378061416174611      2784.613547914352
0.008403730203460351      2784.613548635655
0.008429398990746089      2784.6135486356548
0.008455067778031828      2784.6135479143504
0.008480736565317566      2784.613548635654
0.008506405352603306      2784.6135486356534
0.008532074139889044      2784.6135479143495
0.008557742927174783      2784.6135486356525
0.008583411714460521      2784.6135486356516
0.00860908050174626       2784.613547914348
0.008634749289032         2784.6135486356516
0.008660418076317738      2784.613548635651
0.008686086863603478      2784.6135479143472
0.008711755650889216      2784.6135486356507
0.008737424438174955      2784.61354863565
0.008763093225460693      2784.6135479143463
0.008788762012746431      2784.6135486356493
0.00881443080003217       2784.613548635649
0.008840099587317908      2784.6135479143454
0.008865768374603648      2784.613548635648
0.008891437161889386      2784.613548635648
0.008917105949175124      2784.6135479143445
0.008942774736460863      2784.613548635648
0.008968443523746601      2784.613548635647
0.00899411231103234       2784.613547914343
0.00901978109831808       2784.613548635646
0.009045449885603818      2784.6135486356457
0.009071118672889558      2784.613547914342
0.009096787460175296      2784.6135486356457
0.009122456247461035      2784.613548635645
0.009148125034746773      2784.6135479143413
0.009173793822032513      2784.6135486356443
0.00919946260931825       2784.6135486356443
0.00922513139660399       2784.6135479143404
0.00925080018388973       2784.613548635644
0.009276468971175468      2784.613548635643
0.009302137758461206      2784.6135479143395
0.009327806545746945      2784.6135486356425
0.009353475333032683      2784.6135486356425
0.009379144120318423      2784.6135479143386
0.00940481290760416       2784.6135486356416
0.0094304816948899        2784.613548635641
0.009456150482175638      2784.6135479143377
0.00948181926946138       2784.6135486356407
0.009507488056747117      2784.61354863564
0.009533156844032857      2784.613547914337
0.009558825631318596      2784.61354863564
0.009584494418604334      2784.6135486356393
0.009610163205890072      2784.613547914336
0.00963583199317581       2784.6135486356393
0.00966150078046155       2784.613548635639
0.009687169567747287      2784.613547914335
0.009712838355033025      2784.6135486356384
0.009738507142318765      2784.613548635638
0.009764175929604503      2784.6135479143345
0.009789844716890242      2784.613548635638
