% Model:              wire_with_a_probes.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 24 2025, 10:30
% Dimension:          1
% Nodes:              505
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Temperature
0                         293.15
3.7206549850427846E-5     310.0020242017397
7.441309970085569E-5      327.08406895984535
1.1161964955128355E-4     344.3961342743169
1.4882619940171138E-4     361.93822014515445
1.8603274925213924E-4     379.710326572358
2.232392991025671E-4      397.7124535559275
2.843724622184806E-4      427.9760257625787
3.4550562533439404E-4     458.92983070239717
4.066387884503075E-4      490.57386837538314
4.6777195156622097E-4     522.9081387815365
5.289051146821344E-4      555.9326419208575
5.900382777980479E-4      589.6473777933458
6.905929820573843E-4      646.2955389433969
7.911476863167207E-4      703.700999768265
8.91702390576057E-4       761.8637602679503
9.922570948353933E-4      820.7838204424526
0.0010928117990947298     880.4611802917724
0.001193366503354066      940.895839815909
0.00135876361663803       1041.1564180894732
0.001524160729921994      1140.1607162747398
0.0016895578432059577     1237.908734371709
0.0018549549564899218     1334.400472380381
0.002020352069773886      1429.6359303007555
0.0021857491830578495     1523.6151081328326
0.0024131909134124593     1648.683112055025
0.0026406326437670687     1765.6298702383851
0.0028680743741216785     1874.4553826829122
0.0030955161044762883     1975.1596493886066
0.0033229578348308976     2067.7426703554684
0.0035503995651855074     2152.204445583497
0.003813259966181176      2239.1450881269197
0.004076120367176845      2317.8086813655036
0.0043389807681725135     2388.1952252992487
0.004601841169168182      2450.3047199281555
0.00486470157016385       2504.137165252224
0.005127561971159519      2549.6925612714535
0.005417593096320546      2590.392718762144
0.005707624221481574      2626.3835073405367
0.0059976553466426        2657.6649270066328
0.006287686471803627      2684.2369777604317
0.006577717596964654      2706.099659601934
0.006867748722125681      2723.2529725311388
0.00716723413418276       2736.483672389801
0.00746671954623984       2748.0550898877577
0.007766204958296918      2757.967225025009
0.008065690370353998      2766.220077801555
0.008365175782411076      2772.8136482173954
0.008664661194468156      2777.7479362725303
0.00896415833808655       2781.2767986120753
