0000 - *CLS             *CLS          :*CLS
006F - STATe            STAT          [:SENSe]:CURRent:AC:NULL[:STATe]
0070 - VALue?           VAL?          [:SENSe]:CURRent:AC:NULL:VALue?
0071 - VALue            VAL           [:SENSe]:CURRent:AC:NULL:VALue
0072 - STATe?           STAT?         [:SENSe]:CURRent:AC:PEAK:STATe?
0073 - STATe            STAT          [:SENSe]:CURRent:AC:PEAK:STATe
0074 - AUTO?            AUTO?         [:SENSe]:CURRent:AC:RANGe:AUTO?
0075 - AUTO             AUTO          [:SENSe]:CURRent:AC:RANGe:AUTO
0076 - UPPer?           UPP?          [:SENSe]:CURRent:AC:RANGe[:UPPer]?
0077 - UPPer            UPP           [:SENSe]:CURRent:AC:RANGe[:UPPer]
0078 - RESolution?      RES?          [:SENSe]:CURRent:AC:RESolution?
0079 - RESolution       RES           [:SENSe]:CURRent:AC:RESolution
007A - APERture?        APER?         [:SENSe]:CURRent[:DC]:APERture?
007B - APERture         APER          [:SENSe]:CURRent[:DC]:APERture
007C - ENABled?         ENAB?         [:SENSe]:CURRent[:DC]:APERture:ENABled?
007D - ENABled          ENAB          [:SENSe]:CURRent[:DC]:APERture:ENABled
007E - NPLCycles?       NPLC?         [:SENSe]:CURRent[:DC]:NPLCycles?
007F - NPLCycles        NPLC          [:SENSe]:CURRent[:DC]:NPLCycles
0080 - STATe?           STAT?         [:SENSe]:CURRent[:DC]:NULL[:STATe]?
0081 - STATe            STAT          [:SENSe]:CURRent[:DC]:NULL[:STATe]
0082 - VALue?           VAL?          [:SENSe]:CURRent[:DC]:NULL:VALue?
0083 - VALue            VAL           [:SENSe]:CURRent[:DC]:NULL:VALue
0084 - STATe?           STAT?         [:SENSe]:CURRent[:DC]:PEAK:STATe?
0085 - STATe            STAT          [:SENSe]:CURRent[:DC]:PEAK:STATe
0086 - AUTO?            AUTO?         [:SENSe]:CURRent[:DC]:RANGe:AUTO?
0087 - AUTO             AUTO          [:SENSe]:CURRent[:DC]:RANGe:AUTO
0088 - UPPer?           UPP?          [:SENSe]:CURRent[:DC]:RANGe[:UPPer]?
0089 - UPPer            UPP           [:SENSe]:CURRent[:DC]:RANGe[:UPPer]
008A - RESolution?      RES?          [:SENSe]:CURRent[:DC]:RESolution?
008B - RESolution       RES           [:SENSe]:CURRent[:DC]:RESolution
008C - AUTO             AUTO          [:SENSe]:CURRent[:DC]:ZERO:AUTO
008D - AUTO?            AUTO?         [:SENSe]:CURRent[:DC]:ZERO:AUTO?
008E - APERture?        APER?         [:SENSe]:FREQuency:APERture?
008F - APERture         APER          [:SENSe]:FREQuency:APERture
0090 - STATe?           STAT?         [:SENSe]:FREQuency:NULL[:STATe]?
0091 - STATe            STAT          [:SENSe]:FREQuency:NULL[:STATe]
0092 - VALue?           VAL?          [:SENSe]:FREQuency:NULL:VALue?
