Расстояние вдоль нити (пиксели),Яркость
0.0,68.33333333333333
1.169404106538374,126.0
2.3392103323793463,161.77777777777777
3.509473041747772,181.44444444444446
4.6802381476289145,180.22222222222223
5.851543375273671,189.0
7.023418528070274,196.33333333333334
8.195885755093755,198.33333333333334
9.36895981970922,187.66666666666666
10.542648368667438,194.11111111111111
11.716952201192388,203.44444444444446
12.891865537619093,192.0
14.067376287196472,203.11111111111111
15.243466314724152,207.33333333333334
16.420111705742617,210.22222222222223
17.597283030045467,207.66666666666666
18.77494560332697,213.11111111111111
19.953059746822028,199.33333333333334
21.13158104483459,210.22222222222223
22.310460600088604,213.66666666666666
23.489645286869685,211.33333333333334
24.669078001958063,216.11111111111111
25.848697913382825,221.33333333333334
27.028440707054898,210.44444444444446
28.208238831361008,213.22222222222223
29.388021739824588,221.11111111111111
30.56771613195971,214.55555555555554
31.747246192464093,220.11111111111111
32.92653382891463,218.0
34.10549890814434,214.0
35.28405949149476,223.66666666666666
36.46213206921747,222.0
37.639651542132135,220.0
38.81662754138789,224.22222222222223
39.99308763592646,222.44444444444446
41.16905937330604,216.55555555555554
42.34457027953914,224.22222222222223
43.519647858934995,223.55555555555554
44.694319593946894,219.88888888888889
45.86861294502432,224.77777777777777
47.042555350469854,226.66666666666666
48.21617422630118,223.66666666666666
49.38949696611805,222.33333333333334
50.56255094097424,224.0
51.7353634992547,224.22222222222223
52.907961966557764,226.0
54.08037364558263,217.88888888888889
55.25262581602204,222.0
56.42474573446022,223.55555555555554
57.596760634276144,219.33333333333334
58.768697725552094,227.22222222222223
59.940584194987686,225.0
61.11244720581925,222.0
62.2843138977445,225.0
63.45621138685291,218.66666666666666
64.62816676556133,227.44444444444446
65.80020710255523,226.22222222222223
66.97235944273537,219.55555555555554
68.14465080716987,222.55555555555554
69.3171081930521,222.44444444444446
70.48975136102915,223.55555555555554
71.66254888772886,223.33333333333334
72.83544821218754,218.22222222222223
74.00839840812394,221.88888888888889
75.18135060182789,221.44444444444446
76.35425829862747,224.44444444444446
77.52707771031723,223.22222222222223
78.69976808368658,218.88888888888889
79.87229203026182,220.33333333333334
81.04461585734619,216.11111111111111
82.21670990041044,222.55555555555554
83.38854885685058,218.88888888888889
84.56011212108965,220.0
85.73138412095847,220.55555555555554
86.9023546552426,218.77777777777777
88.07301923223275,217.33333333333334
89.24337940906122,211.66666666666666
90.41344313154916,217.77777777777777
91.5832250742273,206.33333333333334
92.75274698012704,214.11111111111111
93.92203799986996,209.33333333333334
95.0911350295113,214.0
96.26008304651799,201.0
97.42893544318312,209.88888888888889
98.59775435670032,202.44444444444446
99.76661099503892,204.44444444444446
100.93558595767942,204.33333333333334
102.10476955018768,201.55555555555554
103.27421332076884,204.22222222222223
104.44340837746002,203.0
105.61164357287394,192.44444444444446
106.77853997221277,200.55555555555554
107.9441599168581,196.55555555555554
109.109108804981,191.11111111111111
110.2745621536703,206.88888888888889
111.436466408927,206.11111111111111
112.579958061233,201.55555555555554
113.69033941478604,194.22222222222223
114.75971793625756,196.44444444444446
115.79431878647802,188.0
116.82286804715368,192.11111111111111
117.89673617373569,187.66666666666666
119.04268414931721,182.77777777777777
120.24857673447741,189.11111111111111
121.48423603973762,175.11111111111111
122.72128551816245,181.22222222222223
123.94659782434219,174.55555555555554
125.15113650904738,181.66666666666666
126.33453914047307,174.44444444444446
127.50515532711955,167.11111111111111
128.66979331223598,157.88888888888889
129.83338232537318,144.44444444444446
130.99965294943615,124.44444444444444
132.17186828693116,118.0
133.35356210990892,82.44444444444444
