18:47:36	-4.86993416e-10A
18:47:37	5.04328255e-10A
18:47:38	-1.47646604e-09A
18:47:39	-2.02540261e-09A
18:47:40	-1.77023378e-09A
18:47:41	-2.51609413e-09A
18:47:42	-8.37388299e-10A
18:47:43	-2.37672202e-09A
18:47:44	-2.64575872e-09A
18:47:45	-2.62911728e-09A
18:47:46	-2.23157163e-09A
18:47:47	-1.98472352e-09A
18:47:48	-1.31467421e-09A
18:47:49	-1.38886732e-09A
18:47:50	-1.78063468e-09A
18:47:51	-1.19818409e-09A
18:47:52	-2.14651536e-09A
18:47:53	-3.91536235e-10A
18:47:54	-2.81286657e-10A
18:47:55	-1.09417505e-09A
18:47:56	-1.72678112e-09A
18:47:57	-1.15218898e-09A
18:47:58	-2.40792473e-09A
18:47:59	-2.71371129e-09A
18:48:00	-1.41221157e-09A
18:48:01	-1.14779749e-09A
18:48:02	-1.88579937e-09A
18:48:03	-1.3798532e-09A
18:48:04	-8.69746666e-10A
18:48:05	-3.58946737e-10A
18:48:06	-9.27298332e-10A
18:48:07	-2.68181519e-09A
18:48:08	-1.16235875e-09A
18:48:09	8.08728032e-10A
18:48:10	-3.37220405e-10A
18:48:11	-4.0216827e-10A
18:48:12	-2.03603465e-09A
18:48:13	-1.03246302e-09A
18:48:14	-2.0445865e-09A
18:48:15	-8.84539062e-10A
18:48:16	-9.44633171e-10A
18:48:17	-4.0424845e-10A
18:48:18	4.55328443e-10A
18:48:19	-1.19263694e-09A
18:48:20	-7.54181071e-10A
18:48:21	-3.19169059e-09A
18:48:22	-1.31120724e-09A
18:48:23	-9.25218151e-10A
18:48:24	-1.84928065e-09A
18:48:25	-1.2471839e-09A
18:48:26	-4.71276495e-10A
18:48:27	-1.38239564e-09A
18:48:28	-2.07370903e-09A
18:48:29	-1.91792661e-09A
18:48:30	-1.52685264e-09A
18:48:31	7.7336496e-10A
18:48:32	-1.91237946e-09A
18:48:33	-1.20118879e-09A
18:48:34	-1.59203163e-09A
18:48:35	5.87766615e-10A
18:48:36	-1.55666856e-09A
18:48:37	-8.81996619e-10A
18:48:38	-1.48478676e-09A
18:48:39	-5.18196127e-10A
18:48:40	-1.37037682e-09A
18:48:41	-3.68191985e-10A
18:48:42	-7.55336727e-10A
18:48:43	-1.12352871e-09A
18:48:44	-1.42977754e-09A
18:48:45	-1.23863204e-09A
18:48:46	-1.70181895e-09A
18:48:47	8.68822141e-10A
18:48:48	-5.77827973e-10A
18:48:49	-6.48554117e-10A
18:48:50	-1.23192924e-09A
18:48:51	-7.19973655e-10A
18:48:52	5.20045176e-11A
18:48:53	-9.38161498e-10A
18:48:54	-1.36066931e-09A
18:48:55	-2.21654811e-10A
18:48:56	-6.13422177e-10A
18:48:57	1.87216263e-10A
18:48:58	-4.96932057e-11A
18:48:59	-8.52642958e-10A
18:49:00	-7.48633922e-10A
18:49:01	-1.57053643e-09A
18:49:02	-1.95051611e-09A
18:49:03	-1.18801431e-09A
18:49:04	9.22213446e-11A
18:49:05	-1.87077585e-09A
18:49:06	8.03412014e-10A
18:49:07	-2.3892031e-09A
18:49:08	-4.86068891e-10A
18:49:09	-5.01554681e-10A
18:49:10	-3.29130814e-10A
18:49:11	-8.57958975e-10A
18:49:12	-1.56152232e-09A
18:49:13	-1.04656203e-09A
18:49:14	-1.00310936e-10A
18:49:15	-1.39695691e-09A
18:49:16	-1.01073669e-09A
18:49:17	-8.22827034e-11A
18:49:18	4.32215324e-10A
18:49:19	-2.11300133e-09A
18:49:20	-1.0819251e-09A
18:49:21	-1.6562861e-09A
18:49:22	-1.12722681e-09A
18:49:23	-1.18154264e-09A
18:49:24	6.05563716e-11A
18:49:25	-7.88157356e-10A
18:49:26	-1.33478262e-09A
18:49:27	-1.11058537e-09A
18:49:28	-3.38399174e-09A
18:49:29	-3.29824207e-10A
18:49:30	8.48251465e-10A
18:49:31	-1.8541344e-09A
18:49:32	-1.64334276e-09A
18:49:33	-6.45549412e-10A
18:49:34	-9.98949001e-10A
18:49:35	-3.02781858e-10A
18:49:36	5.59337478e-11A
18:49:37	-1.264981e-09A
18:49:38	-7.15582162e-10A
18:49:39	-1.50073481e-09A
18:49:40	1.437636e-10A
18:49:41	-1.32114588e-09A
18:49:42	-1.97732733e-09A
18:49:43	2.69498967e-10A
18:49:44	-1.15611821e-09A
18:49:45	-2.12178432e-10A
18:49:46	-9.52722763e-10A
18:49:47	-2.79668739e-10A
18:49:48	-8.42704317e-10A
18:49:49	-5.70662907e-10A
18:49:50	-7.28525509e-10A
18:49:51	-8.39006217e-10A
18:49:52	-1.60497498e-09A
18:49:53	-4.32446455e-10A
18:49:54	-1.27191494e-09A
18:49:55	7.45860348e-10A
18:49:56	-1.71430003e-09A
18:49:57	-4.26899307e-10A
18:49:58	-7.98327128e-10A
18:49:59	-8.76218339e-10A
18:50:00	-4.24356864e-10A
18:50:01	2.26739697e-10A
18:50:02	-1.80813929e-09A
18:50:03	-6.77907778e-10A
18:50:04	-7.29912296e-10A
18:50:05	-3.37220405e-10A
18:50:06	4.79828349e-10A
18:50:07	-3.77206101e-10A
18:50:08	6.67969137e-10A
